,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Manchester City,98,38,32,2
1,2,Liverpool,97,38,30,7
2,3,Chelsea,72,38,21,9
3,4,Tottenham Hotspur,71,38,23,2
4,5,Arsenal,70,38,21,7
5,6,Manchester United,66,38,19,9
6,7,Wolverhampton Wanderers,57,38,16,9
7,8,Everton,54,38,15,9
8,9,Leicester City,52,38,15,7
9,10,West Ham United,52,38,15,7
10,11,Watford,50,38,14,8
11,12,Crystal Palace,49,38,14,7
12,13,Newcastle United,45,38,12,9
13,14,AFC Bournemouth,45,38,13,6
14,15,Burnley,40,38,11,7
15,16,Southampton,39,38,9,12
16,17,Brighton & Hove Albion,36,38,9,9
17,18,Cardiff City,34,38,10,4
18,19,Fulham,26,38,7,5
19,20,Huddersfield Town,16,38,3,7
