,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Manchester City,100,38,32,4
1,2,Manchester United,81,38,25,6
2,3,Tottenham Hotspur,77,38,23,8
3,4,Liverpool,75,38,21,12
4,5,Chelsea,70,38,21,7
5,6,Arsenal,63,38,19,6
6,7,Burnley,54,38,14,12
7,8,Everton,49,38,13,10
8,9,Leicester City,47,38,12,11
9,10,Newcastle United,44,38,12,8
10,11,Crystal Palace,44,38,11,11
11,12,AFC Bournemouth,44,38,11,11
12,13,West Ham United,42,38,10,12
13,14,Watford,41,38,11,8
14,15,Brighton & Hove Albion,40,38,9,13
15,16,Huddersfield Town,37,38,9,10
16,17,Southampton,36,38,7,15
17,18,Swansea City,33,38,8,9
18,19,Stoke City,33,38,7,12
19,20,West Bromwich Albion,31,38,6,13
