,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Manchester United,90,38,28,6
1,2,Liverpool,86,38,25,11
2,3,Chelsea,83,38,25,8
3,4,Arsenal,72,38,20,12
4,5,Everton,63,38,17,12
5,6,Aston Villa,62,38,17,11
6,7,Fulham,53,38,14,11
7,8,Tottenham Hotspur,51,38,14,9
8,9,West Ham United,51,38,14,9
9,10,Manchester City,50,38,15,5
10,11,Wigan Athletic,45,38,12,9
11,12,Stoke City,45,38,12,9
12,13,Bolton Wanderers,41,38,11,8
13,14,Portsmouth,41,38,10,11
14,15,Blackburn Rovers,41,38,10,11
15,16,Sunderland,36,38,9,9
16,17,Hull City,35,38,8,11
17,18,Newcastle United,34,38,7,13
18,19,Middlesbrough,32,38,7,11
19,20,West Bromwich Albion,32,38,8,8
