,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Chelsea,87,38,26,9
1,2,Manchester City,79,38,24,7
2,3,Arsenal,75,38,22,9
3,4,Manchester United,70,38,20,10
4,5,Tottenham Hotspur,64,38,19,7
5,6,Liverpool,62,38,18,8
6,7,Southampton,60,38,18,6
7,8,Swansea City,56,38,16,8
8,9,Stoke City,54,38,15,9
9,10,Crystal Palace,48,38,13,9
10,11,Everton,47,38,12,11
11,12,West Ham United,47,38,12,11
12,13,West Bromwich Albion,44,38,11,11
13,14,Leicester City,41,38,11,8
14,15,Newcastle United,39,38,10,9
15,16,Sunderland,38,38,7,17
16,17,Aston Villa,38,38,10,8
17,18,Hull City,35,38,8,11
18,19,Burnley,33,38,7,12
19,20,Queens Park Rangers,30,38,8,6
