,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Manchester City,86,38,27,5
1,2,Liverpool,84,38,26,6
2,3,Chelsea,82,38,25,7
3,4,Arsenal,79,38,24,7
4,5,Everton,72,38,21,9
5,6,Tottenham Hotspur,69,38,21,6
6,7,Manchester United,64,38,19,7
7,8,Southampton,56,38,15,11
8,9,Stoke City,50,38,13,11
9,10,Newcastle United,49,38,15,4
10,11,Crystal Palace,45,38,13,6
11,12,Swansea City,42,38,11,9
12,13,West Ham United,40,38,11,7
13,14,Sunderland,38,38,10,8
14,15,Aston Villa,38,38,10,8
15,16,Hull City,37,38,10,7
16,17,West Bromwich Albion,36,38,7,15
17,18,Norwich City,33,38,8,9
18,19,Fulham,32,38,9,5
19,20,Cardiff City,30,38,7,9
