,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Manchester United,89,38,28,5
1,2,Manchester City,78,38,23,9
2,3,Chelsea,75,38,22,9
3,4,Arsenal,73,38,21,10
4,5,Tottenham Hotspur,72,38,21,9
5,6,Everton,63,38,16,15
6,7,Liverpool,61,38,16,13
7,8,West Bromwich Albion,49,38,14,7
8,9,Swansea City,46,38,11,13
9,10,West Ham United,46,38,12,10
10,11,Norwich City,44,38,10,14
11,12,Fulham,43,38,11,10
12,13,Stoke City,42,38,9,15
13,14,Southampton,41,38,9,14
14,15,Aston Villa,41,38,10,11
15,16,Newcastle United,41,38,11,8
16,17,Sunderland,39,38,9,12
17,18,Wigan Athletic,36,38,9,9
18,19,Reading,28,38,6,10
19,20,Queens Park Rangers,25,38,4,13
