,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Manchester United,80,38,23,11
1,2,Chelsea,71,38,21,8
2,3,Manchester City,71,38,21,8
3,4,Arsenal,68,38,19,11
4,5,Tottenham Hotspur,62,38,16,14
5,6,Liverpool,58,38,17,7
6,7,Everton,54,38,13,15
7,8,Fulham,49,38,11,16
8,9,Aston Villa,48,38,12,12
9,10,Sunderland,47,38,12,11
10,11,West Bromwich Albion,47,38,12,11
11,12,Newcastle United,46,38,11,13
12,13,Stoke City,46,38,13,7
13,14,Bolton Wanderers,46,38,12,10
14,15,Blackburn Rovers,43,38,11,10
15,16,Wigan Athletic,42,38,9,15
16,17,Wolverhampton Wanderers,40,38,11,7
17,18,Birmingham City,39,38,8,15
18,19,Blackpool,39,38,10,9
19,20,West Ham United,33,38,7,12
