,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Chelsea,91,38,29,4
1,2,Manchester United,83,38,25,8
2,3,Liverpool,82,38,25,7
3,4,Arsenal,67,38,20,7
4,5,Tottenham Hotspur,65,38,18,11
5,6,Blackburn Rovers,63,38,19,6
6,7,Newcastle United,58,38,17,7
7,8,Bolton Wanderers,56,38,15,11
8,9,West Ham United,55,38,16,7
9,10,Wigan Athletic,51,38,15,6
10,11,Everton,50,38,14,8
11,12,Fulham,48,38,14,6
12,13,Charlton Athletic,47,38,13,8
13,14,Middlesbrough,45,38,12,9
14,15,Manchester City,43,38,13,4
15,16,Aston Villa,42,38,10,12
16,17,Portsmouth,38,38,10,8
17,18,Birmingham City,34,38,8,10
18,19,West Bromwich Albion,30,38,7,9
19,20,Sunderland,15,38,3,6
