,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Manchester United,89,38,28,5
1,2,Chelsea,83,38,24,11
2,3,Liverpool,68,38,20,8
3,4,Arsenal,68,38,19,11
4,5,Tottenham Hotspur,60,38,17,9
5,6,Everton,58,38,15,13
6,7,Bolton Wanderers,56,38,16,8
7,8,Reading,55,38,16,7
8,9,Portsmouth,54,38,14,12
9,10,Blackburn Rovers,52,38,15,7
10,11,Aston Villa,50,38,11,17
11,12,Middlesbrough,46,38,12,10
12,13,Newcastle United,43,38,11,10
13,14,Manchester City,42,38,11,9
14,15,West Ham United,41,38,12,5
15,16,Fulham,39,38,8,15
16,17,Wigan Athletic,38,38,10,8
17,18,Sheffield United,38,38,10,8
18,19,Charlton Athletic,34,38,8,10
19,20,Watford,28,38,5,13
