,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Manchester City,89,38,28,5
1,2,Manchester United,89,38,28,5
2,3,Arsenal,70,38,21,7
3,4,Tottenham Hotspur,69,38,20,9
4,5,Newcastle United,65,38,19,8
5,6,Chelsea,64,38,18,10
6,7,Everton,56,38,15,11
7,8,Liverpool,52,38,14,10
8,9,Fulham,52,38,14,10
9,10,West Bromwich Albion,47,38,13,8
10,11,Swansea City,47,38,12,11
11,12,Norwich City,47,38,12,11
12,13,Sunderland,45,38,11,12
13,14,Stoke City,45,38,11,12
14,15,Wigan Athletic,43,38,11,10
15,16,Aston Villa,38,38,7,17
16,17,Queens Park Rangers,37,38,10,7
17,18,Bolton Wanderers,36,38,10,6
18,19,Blackburn Rovers,31,38,8,7
19,20,Wolverhampton Wanderers,25,38,5,10
