,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Leicester City,81,38,23,12
1,2,Arsenal,71,38,20,11
2,3,Tottenham Hotspur,70,38,19,13
3,4,Manchester City,66,38,19,9
4,5,Manchester United,66,38,19,9
5,6,Southampton,63,38,18,9
6,7,West Ham United,62,38,16,14
7,8,Liverpool,60,38,16,12
8,9,Stoke City,51,38,14,9
9,10,Chelsea,50,38,12,14
10,11,Everton,47,38,11,14
11,12,Swansea City,47,38,12,11
12,13,Watford,45,38,12,9
13,14,West Bromwich Albion,43,38,10,13
14,15,Crystal Palace,42,38,11,9
15,16,AFC Bournemouth,42,38,11,9
16,17,Sunderland,39,38,9,12
17,18,Newcastle United,37,38,9,10
18,19,Norwich City,34,38,9,7
19,20,Aston Villa,17,38,3,8
