,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Chelsea,95,38,29,8
1,2,Arsenal,83,38,25,8
2,3,Manchester United,77,38,22,11
3,4,Everton,61,38,18,7
4,5,Liverpool,58,38,17,7
5,6,Bolton Wanderers,58,38,16,10
6,7,Middlesbrough,55,38,14,13
7,8,Manchester City,52,38,13,13
8,9,Tottenham Hotspur,52,38,14,10
9,10,Aston Villa,47,38,12,11
10,11,Charlton Athletic,46,38,12,10
11,12,Birmingham City,45,38,11,12
12,13,Fulham,44,38,12,8
13,14,Newcastle United,44,38,10,14
14,15,Blackburn Rovers,42,38,9,15
15,16,Portsmouth,39,38,10,9
16,17,West Bromwich Albion,34,38,6,16
17,18,Crystal Palace,33,38,7,12
18,19,Norwich City,33,38,7,12
19,20,Southampton,32,38,6,14
