,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Ajax,71,34,20,11
1,2,Feyenoord Rotterdam,67,34,20,7
2,3,FC Twente,63,34,17,12
3,4,PSV Eindhoven,59,34,18,5
4,5,Heerenveen,57,34,16,9
5,6,Vitesse Arnhem,55,34,15,10
6,7,FC Groningen,51,34,14,9
7,8,AZ Alkmaar,47,34,13,8
8,9,ADO Den Haag,43,34,12,7
9,10,FC Utrecht,41,34,11,8
10,11,PEC Zwolle,40,34,9,13
11,12,SC Cambuur,39,34,10,9
12,13,Go Ahead Eagles,38,34,10,8
13,14,SC Heracles Almelo,37,34,10,7
14,15,NAC Breda,35,34,8,11
15,16,RKC Waalwijk,32,34,7,11
16,17,NEC Nijmegen,30,34,5,15
17,18,Roda JC Kerkrade,29,34,7,8
