,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Ajax,76,34,23,7
1,2,Feyenoord Rotterdam,70,34,21,7
2,3,PSV Eindhoven,69,34,21,6
3,4,AZ Alkmaar,65,34,19,8
4,5,Heerenveen,64,34,18,10
5,6,FC Twente,60,34,17,9
6,7,Vitesse Arnhem,53,34,15,8
7,8,NEC Nijmegen,45,34,13,6
8,9,RKC Waalwijk,45,34,13,6
9,10,Roda JC Kerkrade,44,34,14,2
10,11,FC Utrecht,43,34,11,10
11,12,SC Heracles Almelo,40,34,11,7
12,13,NAC Breda,38,34,10,8
13,14,FC Groningen,37,34,10,7
14,15,ADO Den Haag,32,34,8,8
15,16,VVV Venlo,31,34,9,4
16,17,De Graafschap,24,34,6,6
17,18,Excelsior,19,34,4,7
