,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,PSV Eindhoven,83,34,26,5
1,2,Ajax,79,34,25,4
2,3,AZ Alkmaar,71,34,22,5
3,4,Feyenoord Rotterdam,66,34,20,6
4,5,FC Utrecht,54,34,14,12
5,6,Vitesse Arnhem,49,34,13,10
6,7,ADO Den Haag,47,34,13,8
7,8,Heerenveen,46,34,12,10
8,9,PEC Zwolle,44,34,12,8
9,10,SC Heracles Almelo,42,34,11,9
10,11,Excelsior,40,34,11,7
11,12,FC Groningen,38,34,8,14
12,13,Willem II Tilburg,37,34,10,7
13,14,NAC Breda,34,34,9,7
14,15,VVV Venlo,34,34,7,13
15,16,Roda JC Kerkrade,30,34,8,6
16,17,Sparta Rotterdam,27,34,7,6
17,18,FC Twente,24,34,5,9
