,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Ajax,73,34,22,7
1,2,FC Twente,71,34,21,8
2,3,PSV Eindhoven,69,34,20,9
3,4,FC Groningen,60,35,18,6
4,5,AZ Alkmaar,59,34,17,8
5,6,Roda JC Kerkrade,55,34,14,13
6,7,ADO Den Haag,54,35,16,6
7,8,SC Heracles Almelo,49,34,14,7
8,9,FC Utrecht,47,34,13,8
9,10,Feyenoord Rotterdam,44,34,12,8
10,11,NEC Nijmegen,43,34,10,13
11,12,Heerenveen,41,34,10,11
12,13,NAC Breda,41,34,12,5
13,14,De Graafschap,38,34,9,11
14,15,Vitesse Arnhem,35,34,9,8
15,16,Excelsior,35,34,10,5
16,17,VVV Venlo,21,34,6,3
17,18,Willem II Tilburg,15,34,3,6
