,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,PSV Eindhoven,75,34,23,6
1,2,Ajax,75,34,23,6
2,3,AZ Alkmaar,72,34,21,9
3,4,FC Twente,66,34,19,9
4,5,Heerenveen,55,34,16,7
5,6,Roda JC Kerkrade,54,34,15,9
6,7,Feyenoord Rotterdam,53,34,15,8
7,8,FC Groningen,51,34,15,6
8,9,FC Utrecht,48,34,13,9
9,10,NEC Nijmegen,44,34,12,8
10,11,NAC Breda,43,34,12,7
11,12,Vitesse Arnhem,38,34,10,8
12,13,Sparta Rotterdam,37,34,10,7
13,14,SC Heracles Almelo,32,34,7,11
14,15,Willem II Tilburg,31,34,8,7
15,16,Excelsior,30,34,8,6
16,17,RKC Waalwijk,27,34,6,9
17,18,ADO Den Haag,17,34,3,8
