,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Ajax,76,34,22,10
1,2,PSV Eindhoven,69,34,22,3
2,3,Feyenoord Rotterdam,69,34,21,6
3,4,Vitesse Arnhem,64,34,19,7
4,5,FC Utrecht,63,34,19,6
5,6,FC Twente,62,34,17,11
6,7,FC Groningen,43,34,12,7
7,8,Heerenveen,42,34,11,9
8,9,ADO Den Haag,40,34,9,13
9,10,AZ Alkmaar,39,34,10,9
10,11,PEC Zwolle,39,34,10,9
11,12,SC Heracles Almelo,38,34,9,11
12,13,NAC Breda,38,34,10,8
13,14,RKC Waalwijk,37,34,9,10
14,15,NEC Nijmegen,37,34,10,7
15,16,Roda JC Kerkrade,33,34,7,12
16,17,VVV Venlo,28,34,6,10
17,18,Willem II Tilburg,23,34,5,8
