,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,AZ Alkmaar,80,34,25,5
1,2,FC Twente,69,34,20,9
2,3,Ajax,68,34,21,5
3,4,PSV Eindhoven,65,34,19,8
4,5,Heerenveen,60,34,17,9
5,6,FC Groningen,56,34,17,5
6,7,Feyenoord Rotterdam,45,34,12,9
7,8,NAC Breda,45,34,13,6
8,9,FC Utrecht,44,34,11,11
9,10,Vitesse Arnhem,43,34,11,10
10,11,NEC Nijmegen,42,34,9,15
11,12,Willem II Tilburg,37,34,10,7
12,13,Sparta Rotterdam,35,34,9,8
13,14,ADO Den Haag,32,34,8,8
14,15,SC Heracles Almelo,32,34,7,11
15,16,Roda JC Kerkrade,30,34,7,9
16,17,De Graafschap,30,34,7,9
17,18,FC Volendam,29,34,7,8
