,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Feyenoord Rotterdam,82,34,26,4
1,2,Ajax,81,34,25,6
2,3,PSV Eindhoven,76,34,22,10
3,4,FC Utrecht,62,34,18,8
4,5,Vitesse Arnhem,51,34,15,6
5,6,AZ Alkmaar,49,34,12,13
6,7,FC Twente,45,34,12,9
7,8,FC Groningen,43,34,10,13
8,9,Heerenveen,43,34,12,7
9,10,SC Heracles Almelo,43,34,12,7
10,11,ADO Den Haag,38,34,11,5
11,12,Excelsior,37,34,9,10
12,13,Willem II Tilburg,36,34,9,9
13,14,PEC Zwolle,35,34,9,8
14,15,Sparta Rotterdam,34,34,9,7
15,16,NEC Nijmegen,34,34,9,7
16,17,Roda JC Kerkrade,33,34,7,12
17,18,Go Ahead Eagles,23,34,6,5
