,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,PSV Eindhoven,88,34,29,1
1,2,Ajax,71,34,21,8
2,3,AZ Alkmaar,62,34,19,5
3,4,Feyenoord Rotterdam,59,34,17,8
4,5,Vitesse Arnhem,58,34,16,10
5,6,PEC Zwolle,53,34,16,5
6,7,Heerenveen,50,34,13,11
7,8,FC Groningen,46,34,11,13
8,9,Willem II Tilburg,46,34,13,7
9,10,FC Twente,43,34,13,10
10,11,FC Utrecht,41,34,11,8
11,12,SC Cambuur,41,34,11,8
12,13,ADO Den Haag,37,34,9,10
13,14,SC Heracles Almelo,37,34,11,4
14,15,Excelsior,32,34,6,14
15,16,NAC Breda,28,34,6,10
16,17,Go Ahead Eagles,27,34,7,6
17,18,Dordrecht '90,20,34,4,8
