,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,PSV Eindhoven,72,34,21,9
1,2,Ajax,69,34,20,9
2,3,NAC Breda,63,34,19,6
3,4,FC Twente,62,34,17,11
4,5,Heerenveen,60,34,18,6
5,6,Feyenoord Rotterdam,60,34,18,6
6,7,FC Groningen,51,34,15,6
7,8,NEC Nijmegen,49,34,14,7
8,9,Roda JC Kerkrade,47,34,12,11
9,10,FC Utrecht,46,34,13,7
10,11,AZ Alkmaar,43,34,11,10
11,12,Vitesse Arnhem,43,34,12,7
12,13,Sparta Rotterdam,34,34,9,7
13,14,SC Heracles Almelo,32,34,8,8
14,15,Willem II Tilburg,31,34,8,7
15,16,De Graafschap,30,34,7,9
16,17,VVV Venlo,29,34,7,8
17,18,Excelsior,27,34,7,6
