,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Ajax,86,34,28,2
1,2,PSV Eindhoven,83,34,26,5
2,3,Feyenoord Rotterdam,65,34,20,5
3,4,AZ Alkmaar,58,34,17,7
4,5,Vitesse Arnhem,53,34,14,11
5,6,FC Utrecht,53,34,15,8
6,7,SC Heracles Almelo,48,34,15,3
7,8,FC Groningen,45,34,13,6
8,9,ADO Den Haag,45,34,12,9
9,10,Willem II Tilburg,44,34,13,5
10,11,Heerenveen,41,34,10,11
11,12,VVV Venlo,41,34,11,8
12,13,PEC Zwolle,39,34,11,6
13,14,FC Emmen VV,38,34,10,8
14,15,Fortuna Sittard,34,34,9,7
15,16,Excelsior,33,34,9,6
16,17,De Graafschap,29,34,8,5
17,18,NAC Breda,23,34,5,8
