,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,PSV Eindhoven,84,34,26,6
1,2,Ajax,82,34,25,7
2,3,Feyenoord Rotterdam,63,34,19,6
3,4,AZ Alkmaar,59,34,18,5
4,5,FC Utrecht,53,34,15,8
5,6,SC Heracles Almelo,51,34,14,9
6,7,FC Groningen,50,34,14,8
7,8,PEC Zwolle,48,34,14,6
8,9,Vitesse Arnhem,46,34,12,10
9,10,NEC Nijmegen,46,34,13,7
10,11,ADO Den Haag,43,34,10,13
11,12,Heerenveen,42,34,11,9
12,13,FC Twente,40,34,12,7
13,14,Roda JC Kerkrade,34,34,8,10
14,15,Excelsior,30,34,7,9
15,16,Willem II Tilburg,29,34,6,11
16,17,De Graafschap,23,34,5,8
17,18,SC Cambuur,18,34,3,9
