,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Paris Saint-Germain,83,38,25,8
1,2,Marseille,71,38,21,8
2,3,Lyon,67,38,19,10
3,4,Nice,64,38,18,10
4,5,Saint-Etienne,63,38,16,15
5,6,Lille,62,38,16,14
6,7,Bordeaux,55,38,13,16
7,8,Lorient,53,38,14,11
8,9,Montpellier,52,38,15,7
9,10,Toulouse,51,38,13,12
10,11,Valenciennes,48,38,12,12
11,12,Bastia,47,38,13,8
12,13,Stade Rennes,46,38,13,7
13,14,Stade de Reims,43,38,10,13
14,15,Sochaux,41,38,10,11
15,16,Evian Thonon Gaillard,40,38,10,10
16,17,AC Ajaccio,40,38,9,15
17,18,AS Nancy Lorraine,38,38,9,11
18,19,Troyes,37,38,8,13
19,20,Brest,29,38,8,5
