,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Paris Saint-Germain,91,38,29,4
1,2,Lille,75,38,22,9
2,3,Lyon,72,38,21,9
3,4,Saint-Etienne,66,38,19,9
4,5,Marseille,61,38,18,7
5,6,Montpellier,59,38,15,14
6,7,Nice,56,38,15,11
7,8,Stade de Reims,55,38,13,16
8,9,Nimes,53,38,15,8
9,10,Stade Rennes,52,38,13,13
10,11,Strasbourg,49,38,11,16
11,12,Nantes,48,38,13,9
12,13,Angers,46,38,10,16
13,14,Bordeaux,41,38,10,11
14,15,SC Amiens,38,38,9,11
15,16,Toulouse,38,38,8,14
16,17,AS Mônaco,36,38,8,12
17,18,Dijon FCO,34,38,9,7
18,19,Caen,33,38,7,12
19,20,Guingamp,27,38,5,12
