,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Paris Saint-Germain,89,38,27,8
1,2,AS Mônaco,80,38,23,11
2,3,Lille,71,38,20,11
3,4,Saint-Etienne,69,38,20,9
4,5,Lyon,61,38,17,10
5,6,Marseille,60,38,16,12
6,7,Bordeaux,53,38,13,14
7,8,Lorient,49,38,13,10
8,9,Toulouse,49,38,12,13
9,10,Bastia,49,38,13,10
10,11,Stade de Reims,48,38,12,12
11,12,Stade Rennes,46,38,11,13
12,13,Nantes,46,38,12,10
13,14,Evian Thonon Gaillard,44,38,11,11
14,15,Montpellier,42,38,8,18
15,16,Guingamp,42,38,11,9
16,17,Nice,42,38,12,6
17,18,Sochaux,40,38,10,10
18,19,Valenciennes,29,38,7,8
19,20,AC Ajaccio,23,38,4,11
