,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Lyon,79,38,22,13
1,2,Lille,67,38,18,13
2,3,AS Mônaco,63,38,15,18
3,4,Stade Rennes,55,38,15,10
4,5,Marseille,55,38,15,10
5,6,Saint-Etienne,53,38,12,17
6,7,Lens,52,38,13,13
7,8,AJ Auxerre,52,38,14,10
8,9,Paris Saint-Germain,51,38,12,15
9,10,Sochaux,50,38,13,11
10,11,Strasbourg,48,38,12,12
11,12,Nice,46,38,10,16
12,13,Toulouse,46,38,12,10
13,14,AC Ajaccio,45,38,10,15
14,15,Bordeaux,44,38,8,20
15,16,Metz,44,38,10,14
16,17,Nantes,43,38,10,13
17,18,Caen,42,38,10,12
18,19,Bastia,41,38,11,8
19,20,FC Istres,32,38,6,14
