,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Bayern de Munique,84,34,27,3
1,2,Schalke 04,63,34,18,9
2,3,TSG Hoffenheim,55,34,15,10
3,4,Borussia Dortmund,55,34,15,10
4,5,Bayer Leverkusen,55,34,15,10
5,6,RB Leipzig,53,34,15,8
6,7,VfB Stuttgart,51,34,15,6
7,8,Eintracht Frankfurt,49,34,14,7
8,9,Borussia Monchengladbach,47,34,13,8
9,10,Hertha Berlin,43,34,10,13
10,11,Werder Bremen,42,34,10,12
11,12,FC Augsburgo,41,34,10,11
12,13,Hannover 96,39,34,10,9
13,14,Mainz,36,34,9,9
14,15,SC Freiburg,36,34,8,12
15,16,VfL Wolfsburg,33,34,6,15
16,17,Hamburg SV,31,34,8,7
17,18,FC Cologne,22,34,5,7
