,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Bayern de Munique,90,34,29,3
1,2,Borussia Dortmund,71,34,22,5
2,3,Schalke 04,64,34,19,7
3,4,Bayer Leverkusen,61,34,19,4
4,5,VfL Wolfsburg,60,34,18,6
5,6,Borussia Monchengladbach,55,34,16,7
6,7,Mainz,53,34,16,5
7,8,FC Augsburgo,52,34,15,7
8,9,TSG Hoffenheim,44,34,11,11
9,10,Hannover 96,42,34,12,6
10,11,Hertha Berlin,41,34,11,8
11,12,Werder Bremen,39,34,10,9
12,13,Eintracht Frankfurt,36,34,9,9
13,14,SC Freiburg,36,34,9,9
14,15,VfB Stuttgart,32,34,8,8
15,16,Hamburg SV,27,34,7,6
16,17,Nurnberg,26,34,5,11
17,18,TSV Eintracht Braunschweig,25,34,6,7
