,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,VfB Stuttgart,70,34,21,7
1,2,Schalke 04,68,34,21,5
2,3,Werder Bremen,66,34,20,6
3,4,Bayern de Munique,60,34,18,6
4,5,Bayer Leverkusen,51,34,15,6
5,6,Nurnberg,48,34,11,15
6,7,Hamburg SV,45,34,10,15
7,8,VfL Bochum,45,34,13,6
8,9,Borussia Dortmund,44,34,12,8
9,10,Hertha Berlin,44,34,12,8
10,11,Hannover 96,44,34,12,8
11,12,Arminia Bielefeld,42,34,11,9
12,13,Energie Cottbus,41,34,11,8
13,14,Eintracht Frankfurt,40,34,9,13
14,15,VfL Wolfsburg,37,34,8,13
15,16,Mainz,34,34,8,10
16,17,Alemannia Aachen,34,34,9,7
17,18,Borussia Monchengladbach,26,34,6,8
