,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Borussia Dortmund,81,34,25,6
1,2,Bayern de Munique,73,34,23,4
2,3,Schalke 04,64,34,20,4
3,4,Borussia Monchengladbach,60,34,17,9
4,5,Bayer Leverkusen,54,34,15,9
5,6,VfB Stuttgart,53,34,15,8
6,7,Hannover 96,48,34,12,12
7,8,VfL Wolfsburg,44,34,13,5
8,9,Werder Bremen,42,34,11,9
9,10,Nurnberg,42,34,12,6
10,11,TSG Hoffenheim,41,34,10,11
11,12,SC Freiburg,40,34,10,10
12,13,Mainz,39,34,9,12
13,14,FC Augsburgo,38,34,8,14
14,15,Hamburg SV,36,34,8,12
15,16,Hertha Berlin,31,34,7,10
16,17,FC Cologne,30,34,8,6
17,18,Kaiserslautern,23,34,4,11
