,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Bayern de Munique,79,34,25,4
1,2,VfL Wolfsburg,69,34,20,9
2,3,Borussia Monchengladbach,66,34,19,9
3,4,Bayer Leverkusen,61,34,17,10
4,5,FC Augsburgo,49,34,15,4
5,6,Schalke 04,48,34,13,9
6,7,Borussia Dortmund,46,34,13,7
7,8,TSG Hoffenheim,44,34,12,8
8,9,Eintracht Frankfurt,43,34,11,10
9,10,Werder Bremen,43,34,11,10
10,11,Mainz,40,34,9,13
11,12,FC Cologne,40,34,9,13
12,13,Hannover 96,37,34,9,10
13,14,VfB Stuttgart,36,34,9,9
14,15,Hertha Berlin,35,34,9,8
15,16,Hamburg SV,35,34,9,8
16,17,SC Freiburg,34,34,7,13
17,18,SC Paderborn 07,31,34,7,10
