,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Bayern de Munique,75,34,22,9
1,2,Werder Bremen,70,34,21,7
2,3,Hamburg SV,68,34,21,5
3,4,Schalke 04,61,34,16,13
4,5,Bayer Leverkusen,52,34,14,10
5,6,Hertha Berlin,48,34,12,12
6,7,Borussia Dortmund,46,34,11,13
7,8,Nurnberg,44,34,12,8
8,9,VfB Stuttgart,43,34,9,16
9,10,Borussia Monchengladbach,42,34,10,12
10,11,Mainz,38,34,9,11
11,12,Hannover 96,38,34,7,17
12,13,Arminia Bielefeld,37,34,10,7
13,14,Eintracht Frankfurt,36,34,9,9
14,15,VfL Wolfsburg,34,34,7,13
15,16,Kaiserslautern,33,34,8,9
16,17,FC Cologne,30,34,7,9
17,18,MSV Duisburg,27,34,5,12
