,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Bayern de Munique,88,34,28,4
1,2,Borussia Dortmund,78,34,24,6
2,3,Bayer Leverkusen,60,34,18,6
3,4,Borussia Monchengladbach,55,34,17,4
4,5,Schalke 04,52,34,15,7
5,6,Mainz,50,34,14,8
6,7,Hertha Berlin,50,34,14,8
7,8,VfL Wolfsburg,45,34,12,9
8,9,FC Cologne,43,34,10,13
9,10,Hamburg SV,41,34,11,8
10,11,FC Ingolstadt 04,40,34,10,10
11,12,FC Augsburgo,38,34,9,11
12,13,Werder Bremen,38,34,10,8
13,14,SV Darmstadt 98,38,34,9,11
14,15,TSG Hoffenheim,37,34,9,10
15,16,Eintracht Frankfurt,36,34,9,9
16,17,VfB Stuttgart,33,34,9,6
17,18,Hannover 96,25,34,7,4
