,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Bayern de Munique,78,34,24,6
1,2,Borussia Dortmund,76,34,23,7
2,3,RB Leipzig,66,34,19,9
3,4,Bayer Leverkusen,58,34,18,4
4,5,Borussia Monchengladbach,55,34,16,7
5,6,VfL Wolfsburg,55,34,16,7
6,7,Eintracht Frankfurt,54,34,15,9
7,8,Werder Bremen,53,34,14,11
8,9,TSG Hoffenheim,51,34,13,12
9,10,Fortuna Düsseldorf,44,34,13,5
10,11,Hertha Berlin,43,34,11,10
11,12,Mainz,43,34,12,7
12,13,SC Freiburg,36,34,8,12
13,14,Schalke 04,33,34,8,9
14,15,FC Augsburgo,32,34,8,8
15,16,VfB Stuttgart,28,34,7,7
16,17,Hannover 96,21,34,5,6
17,18,Nurnberg,19,34,3,10
