,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Borussia Dortmund,75,34,23,6
1,2,Bayer Leverkusen,68,34,20,8
2,3,Bayern de Munique,65,34,19,8
3,4,Hannover 96,60,34,19,3
4,5,Mainz,58,34,18,4
5,6,Nurnberg,47,34,13,8
6,7,Kaiserslautern,46,34,13,7
7,8,Hamburg SV,45,34,12,9
8,9,SC Freiburg,44,34,13,5
9,10,FC Cologne,44,34,13,5
10,11,TSG Hoffenheim,43,34,11,10
11,12,VfB Stuttgart,42,34,12,6
12,13,Werder Bremen,41,34,10,11
13,14,Schalke 04,40,34,11,7
14,15,VfL Wolfsburg,38,34,9,11
15,16,Borussia Monchengladbach,36,34,10,6
16,17,Eintracht Frankfurt,34,34,9,7
17,18,St Pauli,29,34,8,5
