,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Bayern de Munique,76,34,22,10
1,2,Werder Bremen,66,34,20,6
2,3,Schalke 04,64,34,18,10
3,4,Hamburg SV,54,34,14,12
4,5,VfL Wolfsburg,54,34,15,9
5,6,VfB Stuttgart,52,34,16,4
6,7,Bayer Leverkusen,51,34,15,6
7,8,Hannover 96,49,34,13,10
8,9,Eintracht Frankfurt,46,34,12,10
9,10,Hertha Berlin,44,34,12,8
10,11,Karlsruher SC,43,34,11,10
11,12,VfL Bochum,41,34,10,11
12,13,Borussia Dortmund,40,34,10,10
13,14,Energie Cottbus,36,34,9,9
14,15,Arminia Bielefeld,34,34,8,10
15,16,Nurnberg,31,34,7,10
16,17,Hansa Rostock,30,34,8,6
17,18,MSV Duisburg,29,34,8,5
