,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Fenerbahçe,64,32,18,10
1,2,Besiktas,58,32,17,7
2,3,Galatasaray,56,32,15,11
3,4,Trabzonspor,49,32,14,7
4,5,Kayserispor,48,32,12,12
5,6,Konyaspor,45,32,12,9
6,7,Ankaraspor,44,32,9,17
7,8,Sivasspor,42,32,12,6
8,9,Genclerbirligi,42,32,12,6
9,10,Ankaragucu,42,32,11,9
10,11,Bursaspor,42,32,11,9
11,12,Manisaspor,40,32,11,7
12,13,Gaziantepspor,39,32,10,9
13,14,Antalyaspor,38,32,8,14
14,15,Denizlispor,37,32,8,13
15,16,Caykur Rizespor,36,32,10,6
16,17,Erciyesspor,36,32,9,9
17,18,Sakaryaspor,21,32,4,9
