,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Fenerbahçe,74,34,23,5
1,2,Galatasaray,65,34,18,11
2,3,Besiktas,62,34,17,11
3,4,Trabzonspor,53,34,14,11
4,5,Sivasspor,53,34,16,5
5,6,Kasimpasa,51,34,13,12
6,7,Karabukspor,50,34,13,11
7,8,Bursaspor,46,34,12,10
8,9,Genclerbirligi,45,34,13,6
9,10,Akhisar Belediye,44,34,12,8
10,11,Konyaspor,42,34,11,9
11,12,Eskisehirspor,42,34,10,12
12,13,Caykur Rizespor,42,34,10,12
13,14,Erciyesspor,37,34,10,7
14,15,Gaziantepspor,37,34,10,7
15,16,Elazigspor,34,34,10,4
16,17,Antalyaspor,31,34,6,13
17,18,Kayserispor,29,34,7,8
