,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Galatasaray,77,34,24,5
1,2,Fenerbahçe,74,34,22,8
2,3,Besiktas,69,34,21,6
3,4,Istanbul Basaksehir,59,34,15,14
4,5,Trabzonspor,57,34,15,12
5,6,Bursaspor,57,34,16,9
6,7,Mersin Idmanyurdu,47,34,13,8
7,8,Konyaspor,46,34,12,10
8,9,Genclerbirligi,40,34,10,10
9,10,Gaziantepspor,40,34,11,7
10,11,Eskisehirspor,39,34,9,12
11,12,Akhisar Belediye,38,34,9,11
12,13,Kasimpasa,37,34,9,10
13,14,Caykur Rizespor,36,34,9,9
14,15,Sivasspor,36,34,9,9
15,16,Karabukspor,28,34,7,7
16,17,Erciyesspor,27,34,5,12
17,18,Balikesirspor,27,34,6,9
