,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Galatasaray,79,34,24,7
1,2,Fenerbahçe,73,34,22,7
2,3,Sivasspor,73,34,23,4
3,4,Besiktas,73,34,23,4
4,5,Kayserispor,55,34,15,10
5,6,Trabzonspor,49,34,14,7
6,7,Denizlispor,45,34,13,6
7,8,Ankaragucu,43,34,11,10
8,9,Gaziantepspor,43,34,11,10
9,10,Ankaraspor,41,34,10,11
10,11,Genclerbirligi OFTAS,40,34,10,10
11,12,Istanbul Basaksehir,38,34,10,8
12,13,Bursaspor,38,34,9,11
13,14,Konyaspor,36,34,10,6
14,15,Genclerbirligi,35,34,9,8
15,16,Manisaspor,29,34,7,8
16,17,Kasimpasa,29,34,8,5
17,18,Caykur Rizespor,29,34,7,8
