,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Besiktas,77,34,23,8
1,2,Istanbul Basaksehir,73,34,21,10
2,3,Fenerbahçe,64,34,18,10
3,4,Galatasaray,64,34,20,4
4,5,Antalyaspor,58,34,17,7
5,6,Trabzonspor,51,34,14,9
6,7,Akhisar Belediyespor,48,34,14,6
7,8,Genclerbirligi,46,34,12,10
8,9,Konyaspor,43,34,11,10
9,10,Kasimpasa,43,34,12,7
10,11,Karabükspor,43,34,12,7
11,12,Alanyaspor K,40,34,12,4
12,13,Osmanlispor,38,34,9,11
13,14,Bursaspor,38,34,11,5
14,15,Kayserispor,38,34,10,8
15,16,Caykur Rizespor,36,34,10,6
16,17,Gaziantepspor,26,34,7,5
17,18,Adanaspor,25,34,6,7
