,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Galatasaray,75,34,24,3
1,2,Fenerbahçe,72,34,21,9
2,3,Istanbul Basaksehir,72,34,22,6
3,4,Besiktas,71,34,21,8
4,5,Trabzonspor,55,34,15,10
5,6,Goztepe,49,34,13,10
6,7,Sivasspor,49,34,14,7
7,8,Kasimpasa,46,34,13,7
8,9,Kayserispor,44,34,12,8
9,10,Yeni Malatyaspor,43,34,11,10
10,11,Akhisar Belediyespor,42,34,11,9
11,12,Alanyaspor K,40,34,11,7
12,13,Bursaspor,39,34,11,6
13,14,Antalyaspor,38,34,10,8
14,15,Konyaspor,36,34,9,9
15,16,Osmanlispor,33,34,8,9
16,17,Genclerbirligi,33,34,8,9
17,18,Karabükspor,12,34,3,3
