,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Galatasaray,71,34,21,8
1,2,Fenerbahçe,61,34,18,7
2,3,Besiktas,58,34,16,10
3,4,Bursaspor,55,34,14,13
4,5,Kayserispor,52,34,15,7
5,6,Kasimpasa,48,34,13,9
6,7,Antalyaspor,48,34,14,6
7,8,Eskisehirspor,46,34,11,13
8,9,Trabzonspor,46,34,13,7
9,10,Gaziantepspor,46,34,12,10
10,11,Sivasspor,44,34,12,8
11,12,Genclerbirligi,43,34,9,16
12,13,Elazigspor,43,34,10,13
13,14,Akhisar Belediye,42,34,11,9
14,15,Karabukspor,41,34,11,8
15,16,Istanbul Basaksehir,36,34,9,9
16,17,Orduspor,29,34,6,11
17,18,Mersin Idmanyurdu,22,34,4,10
