,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Galatasaray,69,34,20,9
1,2,Istanbul Basaksehir,67,34,19,10
2,3,Besiktas,65,34,19,8
3,4,Trabzonspor,63,34,18,9
4,5,Yeni Malatyaspor,47,34,13,8
5,6,Fenerbahçe,46,34,11,13
6,7,Antalyaspor,45,34,13,6
7,8,Konyaspor,44,34,9,17
8,9,Alanyaspor K,44,34,12,8
9,10,Kayserispor,41,34,10,11
10,11,Caykur Rizespor,41,34,9,14
11,12,Sivasspor,41,34,10,11
12,13,Ankaragucu,40,34,11,7
13,14,Kasimpasa,39,34,11,6
14,15,Goztepe,38,34,11,5
15,16,Bursaspor,37,34,7,16
16,17,Erzurum BB,35,34,8,11
17,18,Akhisar Belediyespor,27,34,6,9
