,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Bursaspor,75,34,23,6
1,2,Fenerbahçe,74,34,23,5
2,3,Galatasaray,64,34,19,7
3,4,Besiktas,64,34,18,10
4,5,Trabzonspor,57,34,16,9
5,6,Istanbul Basaksehir,56,34,16,8
6,7,Eskisehirspor,55,34,15,10
7,8,Kayserispor,51,34,14,9
8,9,Antalyaspor,49,34,14,7
9,10,Genclerbirligi,47,34,12,11
10,11,Kasimpasa,41,34,10,11
11,12,Ankaragucu,41,34,9,14
12,13,Gaziantepspor,40,34,9,13
13,14,Manisaspor,37,34,8,13
14,15,Sivasspor,34,34,8,10
15,16,Diyarbakirspor,27,34,6,9
16,17,Denizlispor,26,34,6,8
17,18,Ankaraspor,0,34,0,0
