,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Besiktas,79,34,25,4
1,2,Fenerbahçe,74,34,22,8
2,3,Konyaspor,66,34,19,9
3,4,Istanbul Basaksehir,59,34,16,11
4,5,Ankaraspor,52,34,14,10
5,6,Galatasaray,51,34,13,12
6,7,Kasimpasa,50,34,14,8
7,8,Akhisar Belediye,46,34,11,13
8,9,Antalyaspor,45,34,12,9
9,10,Genclerbirligi,45,34,13,6
10,11,Bursaspor,44,34,13,5
11,12,Trabzonspor,40,34,12,4
12,13,Caykur Rizespor,37,34,9,10
13,14,Gaziantepspor,36,34,9,9
14,15,Kayserispor,34,34,7,13
15,16,Sivasspor,31,34,6,13
16,17,Eskisehirspor,30,34,8,6
17,18,Mersin Idmanyurdu,21,34,5,6
