,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Galatasaray,77,34,23,8
1,2,Fenerbahçe,68,34,20,8
2,3,Trabzonspor,59,34,16,11
3,4,Besiktas,56,34,15,11
4,5,Gaziantepspor,50,34,13,11
5,6,Sivasspor,50,34,13,11
6,7,Genclerbirligi,49,33,13,10
7,8,Eskisehirspor,48,34,13,9
8,9,Istanbul Basaksehir,46,34,13,7
9,10,Karabukspor,46,34,14,4
10,11,Kayserispor,45,34,13,6
11,12,Bursaspor,44,33,11,11
12,13,Orduspor,44,34,11,11
13,14,Mersin Idmanyurdu,41,34,11,8
14,15,Samsunspor,36,34,9,9
15,16,Antalyaspor,35,34,8,11
16,17,Manisaspor,30,34,8,6
17,18,Ankaragucu,12,34,2,6
