,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Real Madrid,76,38,23,7
1,2,Barcelona,76,38,22,10
2,3,Sevilla FC,71,38,21,8
3,4,Valencia,66,38,20,6
4,5,Villareal,62,38,18,8
5,6,Real Zaragoza,60,38,16,12
6,7,Atlético de Madrid,60,38,17,9
7,8,Recreativo Huelva,54,38,15,9
8,9,Getafe,52,38,14,10
9,10,Racing Santander,50,38,12,14
10,11,Espanyol,49,38,12,13
11,12,Mallorca,49,38,14,7
12,13,Deportivo La Coruña,47,38,12,11
13,14,Osasuna,46,38,13,7
14,15,Levante,42,38,10,12
15,16,Real Betis,40,38,8,16
16,17,Athletic Bilbao,40,38,10,10
17,18,Celta de Vigo,39,38,10,9
18,19,Real Sociedad,35,38,8,11
19,20,Gimnàstic de Tarragona,28,38,7,7
