,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Real Madrid,85,38,27,4
1,2,Villareal,77,38,24,5
2,3,Barcelona,67,38,19,10
3,4,Atlético de Madrid,64,38,19,7
4,5,Sevilla FC,64,38,20,4
5,6,Racing Santander,60,38,17,9
6,7,Mallorca,59,38,15,14
7,8,Almería,52,38,14,10
8,9,Deportivo La Coruña,52,38,15,7
9,10,Valencia,51,38,15,6
10,11,Athletic Bilbao,50,38,13,11
11,12,Espanyol,48,38,13,9
12,13,Real Betis,47,38,12,11
13,14,Getafe,47,38,12,11
14,15,Real Valladolid,45,38,11,12
15,16,Recreativo Huelva,44,38,11,11
16,17,Osasuna,43,38,12,7
17,18,Real Zaragoza,42,38,10,12
18,19,Murcia,30,38,7,9
19,20,Levante,26,38,7,5
