,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Barcelona,82,38,25,7
1,2,Real Madrid,70,38,20,10
2,3,Valencia,69,38,19,12
3,4,Osasuna,68,38,21,5
4,5,Sevilla FC,68,38,20,8
5,6,Celta de Vigo,64,38,20,4
6,7,Villareal,57,38,14,15
7,8,Deportivo La Coruña,55,38,15,10
8,9,Getafe,54,38,15,9
9,10,Atlético de Madrid,52,38,13,13
10,11,Real Zaragoza,46,38,10,16
11,12,Athletic Bilbao,45,38,11,12
12,13,Mallorca,43,38,10,13
13,14,Real Betis,42,38,10,12
14,15,Espanyol,41,38,10,11
15,16,Real Sociedad,40,38,11,7
16,17,Racing Santander,40,38,9,13
17,18,Alavés,39,38,9,12
18,19,Cádiz,36,38,8,12
19,20,Málaga,24,38,5,9
