,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Barcelona,87,38,27,6
1,2,Real Madrid,78,38,25,3
2,3,Sevilla FC,70,38,21,7
3,4,Atlético de Madrid,67,38,20,7
4,5,Villareal,65,38,18,11
5,6,Valencia,62,38,18,8
6,7,Deportivo La Coruña,58,38,16,10
7,8,Málaga,55,38,15,10
8,9,Mallorca,51,38,14,9
9,10,Espanyol,47,38,12,11
10,11,Almería,46,38,13,7
11,12,Racing Santander,46,38,12,10
12,13,Athletic Bilbao,44,38,12,8
13,14,Sporting Gijón,43,38,14,1
14,15,Osasuna,43,38,10,13
15,16,Real Valladolid,43,38,12,7
16,17,Getafe,42,38,10,12
17,18,Real Betis,42,38,10,12
18,19,Numancia,35,38,10,5
19,20,Recreativo Huelva,33,38,8,9
