,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Barcelona,93,38,28,9
1,2,Atlético de Madrid,79,38,23,10
2,3,Real Madrid,76,38,22,10
3,4,Valencia,73,38,22,7
4,5,Villareal,61,38,18,7
5,6,Real Betis,60,38,18,6
6,7,Sevilla FC,58,38,17,7
7,8,Getafe,55,38,15,10
8,9,Eibar,51,38,14,9
9,10,Girona,51,38,14,9
10,11,Espanyol,49,38,12,13
11,12,Real Sociedad,49,38,14,7
12,13,Celta de Vigo,49,38,13,10
13,14,Alavés,47,38,15,2
14,15,Levante,46,38,11,13
15,16,Athletic Bilbao,43,38,10,13
16,17,Leganés,43,38,12,7
17,18,Deportivo La Coruña,29,38,6,11
18,19,Las Palmas,22,38,5,7
19,20,Málaga,20,38,5,5
