,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Real Madrid,100,38,32,4
1,2,Barcelona,91,38,28,7
2,3,Valencia,61,38,17,10
3,4,Málaga,58,38,17,7
4,5,Atlético de Madrid,56,38,15,11
5,6,Levante,55,38,16,7
6,7,Osasuna,54,38,13,15
7,8,Mallorca,52,38,14,10
8,9,Sevilla FC,50,38,13,11
9,10,Athletic Bilbao,49,38,12,13
10,11,Getafe,47,38,12,11
11,12,Real Sociedad,47,38,12,11
12,13,Real Betis,47,38,13,8
13,14,Espanyol,46,38,12,10
14,15,Rayo Vallecano,43,38,13,4
15,16,Real Zaragoza,43,38,12,7
16,17,Granada,42,38,12,6
17,18,Villareal,41,38,9,14
18,19,Sporting Gijón,37,38,10,7
19,20,Racing Santander,27,38,4,15
