,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Real Madrid,93,38,29,6
1,2,Barcelona,90,38,28,6
2,3,Atlético de Madrid,78,38,23,9
3,4,Sevilla FC,72,38,21,9
4,5,Villareal,67,38,19,10
5,6,Real Sociedad,64,38,19,7
6,7,Athletic Bilbao,63,38,19,6
7,8,Espanyol,56,38,15,11
8,9,Alavés,55,38,14,13
9,10,Eibar,54,38,15,9
10,11,Málaga,46,38,12,10
11,12,Valencia,46,38,13,7
12,13,Celta de Vigo,45,38,13,6
13,14,Las Palmas,39,38,10,9
14,15,Real Betis,39,38,10,9
15,16,Deportivo La Coruña,36,38,8,12
16,17,Leganés,35,38,8,11
17,18,Sporting Gijón,31,38,7,10
18,19,Osasuna,22,38,4,10
19,20,Granada,20,38,4,8
