,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Valencia,77,38,23,8
1,2,Barcelona,72,38,21,9
2,3,Deportivo La Coruña,71,38,21,8
3,4,Real Madrid,70,38,21,7
4,5,Athletic Bilbao,56,38,15,11
5,6,Sevilla FC,55,38,15,10
6,7,Atlético de Madrid,55,38,15,10
7,8,Villareal,54,38,15,9
8,9,Real Betis,52,38,13,13
9,10,Málaga,51,38,15,6
10,11,Mallorca,51,38,15,6
11,12,Real Zaragoza,48,38,13,9
12,13,Osasuna,48,38,11,15
13,14,Albacete,47,38,13,8
14,15,Real Sociedad,46,38,11,13
15,16,Espanyol,43,38,13,4
16,17,Racing Santander,42,38,11,10
17,18,Real Valladolid,41,38,10,11
18,19,Celta de Vigo,39,38,9,12
19,20,Murcia,26,38,5,11
