,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Barcelona,84,38,25,9
1,2,Real Madrid,80,38,25,5
2,3,Villareal,65,38,18,11
3,4,Real Betis,62,38,16,14
4,5,Espanyol,61,38,17,10
5,6,Sevilla FC,60,38,17,9
6,7,Valencia,58,38,14,16
7,8,Deportivo La Coruña,51,38,12,15
8,9,Athletic Bilbao,51,38,14,9
9,10,Málaga,51,38,15,6
10,11,Atlético de Madrid,50,38,13,11
11,12,Real Zaragoza,50,38,14,8
12,13,Getafe,47,38,12,11
13,14,Real Sociedad,47,38,13,8
14,15,Osasuna,46,38,12,10
15,16,Racing Santander,44,38,12,8
16,17,Mallorca,39,38,10,9
17,18,Levante,37,38,9,10
18,19,Numancia,29,38,6,11
19,20,Albacete,28,38,6,10
