,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Barcelona,100,38,32,4
1,2,Real Madrid,85,38,26,7
2,3,Atlético de Madrid,76,38,23,7
3,4,Real Sociedad,66,38,18,12
4,5,Valencia,65,38,19,8
5,6,Málaga,57,38,16,9
6,7,Real Betis,56,38,16,8
7,8,Rayo Vallecano,53,38,16,5
8,9,Sevilla FC,50,38,14,8
9,10,Getafe,47,38,13,8
10,11,Levante,46,38,12,10
11,12,Athletic Bilbao,45,38,12,9
12,13,Espanyol,44,38,11,11
13,14,Real Valladolid,43,38,11,10
14,15,Granada,42,38,11,9
15,16,Osasuna,39,38,10,9
16,17,Celta de Vigo,37,38,10,7
17,18,Mallorca,36,38,9,9
18,19,Deportivo La Coruña,35,38,8,11
19,20,Real Zaragoza,34,38,9,7
