,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Atlético de Madrid,90,38,28,6
1,2,Barcelona,87,38,27,6
2,3,Real Madrid,87,38,27,6
3,4,Athletic Bilbao,70,38,20,10
4,5,Sevilla FC,63,38,18,9
5,6,Villareal,59,38,17,8
6,7,Real Sociedad,59,38,16,11
7,8,Valencia,49,38,13,10
8,9,Celta de Vigo,49,38,14,7
9,10,Levante,48,38,12,12
10,11,Málaga,45,38,12,9
11,12,Rayo Vallecano,43,38,13,4
12,13,Getafe,42,38,11,9
13,14,Espanyol,42,38,11,9
14,15,Granada,41,38,12,5
15,16,Elche,40,38,9,13
16,17,Almería,40,38,11,7
17,18,Osasuna,39,38,10,9
18,19,Real Valladolid,36,38,7,15
19,20,Real Betis,25,38,6,7
