,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Barcelona,99,38,31,6
1,2,Real Madrid,96,38,31,3
2,3,Valencia,71,38,21,8
3,4,Sevilla FC,63,38,19,6
4,5,Mallorca,62,38,18,8
5,6,Getafe,58,38,17,7
6,7,Villareal,56,38,16,8
7,8,Athletic Bilbao,54,38,15,9
8,9,Atlético de Madrid,47,38,13,8
9,10,Deportivo La Coruña,47,38,13,8
10,11,Espanyol,44,38,11,11
11,12,Osasuna,43,38,11,10
12,13,Almería,42,38,10,12
13,14,Real Zaragoza,41,38,10,11
14,15,Sporting Gijón,40,38,9,13
15,16,Racing Santander,39,38,9,12
16,17,Málaga,37,38,7,16
17,18,Real Valladolid,36,38,7,15
18,19,Tenerife,36,38,9,9
19,20,Xerez,34,38,8,10
