,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Barcelona,94,38,30,4
1,2,Real Madrid,92,38,30,2
2,3,Atlético de Madrid,78,38,23,9
3,4,Valencia,77,38,22,11
4,5,Sevilla FC,76,38,23,7
5,6,Villareal,60,38,16,12
6,7,Athletic Bilbao,55,38,15,10
7,8,Celta de Vigo,51,38,13,12
8,9,Málaga,50,38,14,8
9,10,Espanyol,49,38,13,10
10,11,Rayo Vallecano,49,38,15,4
11,12,Real Sociedad,46,38,11,13
12,13,Elche,41,38,11,8
13,14,Levante,37,38,9,10
14,15,Getafe,37,38,10,7
15,16,Deportivo La Coruña,35,38,7,14
16,17,Granada,35,38,7,14
17,18,Eibar,35,38,9,8
18,19,Almería,29,38,8,8
19,20,Córdoba,20,38,3,11
