,Posição,Time,Pontos,Jogos,Vitórias,Empates
0,1,Benfica,85,34,27,4
1,2,FC Porto,82,34,25,7
2,3,Sporting CP,76,34,22,10
3,4,Braga,58,34,17,7
4,5,Guimaraes,55,34,15,10
5,6,Belenenses,48,34,12,12
6,7,CD Nacional de Madeira,47,34,13,8
7,8,Paços de Ferreira,47,34,12,11
8,9,Maritimo,44,34,12,8
9,10,Rio Ave,43,34,10,13
10,11,Moreirense,43,34,11,10
11,12,Estoril,40,34,9,13
12,13,Boavista,34,34,9,7
13,14,Vitoria Setubal,29,34,7,8
14,15,Academica de Coimbra,29,34,4,17
15,16,Arouca,28,34,7,7
16,17,Gil Vicente,23,34,4,11
17,18,FC Penafiel,22,34,5,7
