,Posição,Time,Pontos
0,1,Benfica,76
1,2,Braga,71
2,3,FC Porto,68
3,4,Sporting CP,48
4,5,Maritimo,41
5,6,Guimaraes,41
6,7,CD Nacional de Madeira,39
7,8,Naval 1º Maio,36
8,10,Paços de Ferreira,35
9,11,Academica de Coimbra,33
10,12,Rio Ave,31
11,13,Olhanense,29
12,14,Vitoria Setubal,25
13,15,Belenenses,23
14,16,Leixoes,21
